name;photo
турник;https://www.tradeinn.com/f/13647/136473451/reebok-wall-mounted-pull-up-bar.webp
штанга;https://avatars.mds.yandex.net/get-mpic/4867510/img_id4589878619105947136.jpeg/orig
беговая дорожка;https://main-cdn.sbermegamarket.ru/big2/hlr-system/ccs/255329/TEUtS0stMTAxLTEwMDAxXzc0NjE3MTM4Ng==/b14.png
гантели;https://main-cdn.sbermegamarket.ru/big2/hlr-system/-14/340/955/271/122/145/6/100029754429b0.jpg
гамностическая скамья;https://avatars.mds.yandex.net/get-mpic/1749547/img_id6652170744375456815.png/orig
брусья;https://budomaster.ru/upload/iblock/e35/brusya-press-domashnie-trenazhery.png
тренажёр для жима ногами;https://avatars.mds.yandex.net/get-mpic/12382441/2a000001944a65258be5852f6c1262ec9f0c/orig
тренажёр для разгибаний;https://ir.ozone.ru/s3/multimedia-1-k/7235579144.jpg
тренажёр для сгибаний;https://sportcity74.ru/upload/iblock/4aa/xcjaajbzre75yqbt33331uzrcfs7t3ly/sgibanie_nog_lyezha_impulse_ecp604_big.jpeg
степ-платформа;https://avatars.mds.yandex.net/get-mpic/5258494/img_id1128167207572648396.png/9hq